index,alpha_obs,delta_obs,l_obs,b_obs,N_obs,N_match,N_candi,unique,included
1,-0.27883869316210586,-1.091015661363335,-0.6435001227309294,-0.8700619408395348,4,4,1,True,True
2,1.5815300146532554,0.5171787234694192,-3.1196384162412505,0.06142413490767551,9,4,1,True,True
3,-2.216795602887848,0.36857358830517395,0.5671415027522206,0.9257625041326331,5,4,1,True,True
4,-1.5676327174502156,0.6110135556540708,1.0670918810951484,0.4351932524333434,5,4,1,True,True
5,-0.6410860003942389,0.6885586863881478,1.5080331854655151,-0.15637332881505642,6,4,1,True,True
6,-0.6132880369886746,-0.5381006417375065,0.2794542315491535,-0.8406444377291866,4,3,1,True,True
7,1.1733994285809093,0.32099284506866516,3.111797805393376,-0.3555399014992933,17,4,1,True,True
8,0.28772972364326543,-0.6223917658649785,-1.3279144225492612,-1.4124220201451747,3,3,6,False,True
9,1.8887362848123352,-1.0751597714835937,-1.5287478727290384,-0.3699785421546754,7,4,1,True,True
10,1.0836088130991648,-0.6441435357210351,-2.1117179945266153,-0.8309588824194354,4,3,1,True,True
11,0.04579267175529189,0.25453359080087734,1.8900619800424625,-0.8224154078987794,2,2,342,False,True
12,1.2054529725323535,-0.5075970888413417,-2.284119367374524,-0.7131604480151144,3,3,1,True,True
13,-2.335943713123646,-0.2923224436925082,-0.2938361923018209,0.6198234392824802,3,3,12,False,True
14,-0.8114203954176102,1.0715939673360801,1.713296293926577,0.18417791740117034,3,3,12,False,True
15,1.3926792548117053,-0.09707325389480101,-2.6664578045796103,-0.40196308148794074,12,4,1,True,True
16,0.37857679646756015,0.3123161126834366,2.350688640572308,-0.7709074134900594,3,3,6,False,True
17,0.6711022683659005,0.568092798564992,2.5609803840015397,-0.4458964083294721,3,3,1,True,True
18,1.3402988635791155,-0.20177987986034104,-2.5871947089430805,-0.4944158361143702,12,3,1,True,True
19,-2.1872662951511797,0.46244024611276263,0.7292466689648567,0.9223590750548025,5,4,1,True,True
20,1.7098864725039329,0.08797354525431327,-2.6840796983992874,-0.035519685513602406,1,1,2768,False,True
21,-0.41525421587320555,-0.9436041940335066,-0.390362978966297,-0.9079414082153745,6,4,1,True,True
22,-0.08816434507185456,-0.17575194133032224,1.3058813586614697,-1.151899192561468,3,3,5,False,True
23,-1.0952544387637348,-0.31198296394562375,0.39729664564028955,-0.3580238156964744,4,4,1,True,True
24,-0.14204105930721367,-0.07354899854552338,1.362667052547975,-1.0394943165909905,6,4,1,True,True
25,-0.4560031315332891,-0.4081816658565719,0.5263915741081808,-0.9543652566464085,3,3,22,False,True
26,-2.075781207299055,1.2718863690507671,1.8647033899128882,0.656599747618431,8,4,1,True,True
27,-2.6234318487373023,0.5311049299333166,0.8645495520282207,1.3072615694212208,2,2,599,False,True
28,-2.639770756424359,-0.4254068010305356,-0.6815162771821051,0.6329137819348606,3,3,7,False,True
29,2.518696250041053,0.3588817440549305,-2.6094974553940737,0.7920217714604746,5,4,1,True,True
30,0.6891544743356333,-0.05755309525428949,3.0446027382486456,-0.9623132355614921,4,4,1,True,True
31,-0.7652670652756437,0.46100037626270096,1.2665385744293083,-0.23691319429004687,8,4,1,True,True
32,0.2771648858226281,-1.1707464064284214,-1.02796660925695,-0.8727774242422546,2,2,593,False,True
33,2.4383307194183814,0.5831861740889512,-2.940430387073655,0.7706371301254114,7,3,1,True,True
34,-2.550463001741903,-0.6070496973889651,-0.6651688534725428,0.4359455142369265,11,4,1,True,True
35,1.654122554568196,-0.4509182064803791,-2.2120274417344525,-0.3166408263617646,7,4,1,True,True
36,-3.06686092866269,-0.15055325246507312,-1.245298664876728,0.9301133427035335,3,3,4,False,True
37,1.3096792955240604,-0.30167983187725367,-2.494430621741035,-0.5610605748459658,9,4,1,True,True
38,-1.4638301684073,0.6536810145014781,1.1388691321683293,0.36837110716244376,6,4,1,True,True
39,2.645994132792887,-0.997767476126199,-1.3617172535322677,-0.020388552355073142,14,4,1,True,True
40,1.240716518241328,-0.9572111463486844,-1.689114088159755,-0.6979313720709814,2,2,571,False,True
41,-1.627006528109876,-0.1329042985454893,0.32483730125941435,0.18496454001982124,7,4,1,True,True
42,2.7437417063072793,-0.06890331422342238,-1.929106035620629,0.761551918973163,2,2,873,False,True
43,-0.0864553139313089,0.15864052092530098,1.6577182593399824,-0.8704945149113603,2,2,930,False,True
44,-0.7792615882235192,0.39854993527493676,1.2084179332663005,-0.26681196762203824,5,4,1,True,True
45,-2.008280671186119,0.29218752334330267,0.5588507768433715,0.7144196875979832,6,4,1,True,True
46,1.766860805594141,0.2354270498537349,-2.7895777087297127,0.08189933771146608,8,4,1,True,True
47,0.17914697296509008,0.6148999521504297,2.1038241027749915,-0.48157767372085475,4,4,1,True,True
48,0.46932504578886025,-0.15070481150692322,2.8136456259697713,-1.1734936936472713,4,4,1,True,True
49,-2.0829276510779073,0.3933160948759801,0.6595861748997245,0.8138826255460335,3,3,4,False,True
50,0.7257205383852083,0.677168249226736,2.552358144386508,-0.3284345523475424,5,4,1,True,True
51,-0.38444505381043026,0.08628866596351863,1.2425016677850476,-0.7587725632422556,1,1,2768,False,True
52,-1.1030194752458637,0.5519074682821588,1.170461611109097,0.05651044589935395,4,4,1,True,True
53,1.782863252602172,-0.24803352655545546,-2.3504981006488457,-0.12292738097224407,8,3,1,True,True
54,0.7868527270146255,-0.7836349398772834,-1.8124704126970848,-1.0259014912217146,4,4,1,True,True
55,1.1409219285028565,0.18606598876128008,-3.0779940427891486,-0.46447892084655784,10,4,1,True,True
56,-2.993942047677843,0.12243823991673126,-1.2147502475664052,1.2122640839678824,3,3,3,False,True
57,0.618993929034902,0.5217363506054509,2.536534915759887,-0.5064110253191496,3,3,4,False,True
58,-0.5250387801295253,-0.7747050336292447,-0.09308500889014848,-0.9019703895557971,8,4,1,True,True
59,-2.7049993481709023,-0.5693173817574012,-0.7915441893206401,0.5086536410604524,6,4,1,True,True
60,-0.5831692925186172,-0.11380618762577822,0.8619966598680726,-0.724801389059555,4,4,1,True,True
61,-2.750607548307886,-0.785398004654479,-0.8729071664352297,0.30278530567796547,14,4,1,True,True
62,-1.91009269736479,0.5843899474425919,0.9623269723150942,0.7052251812137444,4,4,1,True,True
63,1.7554248428170105,-0.34252782749437943,-2.2758758887904067,-0.18761446829189093,12,4,1,True,True
64,-0.46751016736491646,0.9770365919057019,1.7805372540349893,-0.005469888365978265,9,4,1,True,True
