index,alpha_obs,delta_obs,l_obs,b_obs,N_obs,N_match,N_candi,unique,included
1,2.72597944053077,-0.7333869232402839,-1.468825010553461,0.22702477718080283,1,1,2772,False,True
2,-2.104816001923452,-0.967609286413115,-0.5714397303973979,-0.028273624812980354,1,1,2772,False,True
3,-3.0871638240700205,0.9058757411451006,2.3874631629155125,1.1198762935199509,1,1,2772,False,True
4,-0.0629527813081543,-0.02964860848791844,1.541681366283048,-1.0484047990561813,0,0,0,False,False
5,1.9723753338145364,-0.4346638575666601,-2.102056483626888,-0.049792868880495035,6,4,1,True,True
6,-0.9636110085396963,-0.19549436372219678,0.5683638808205727,-0.4275324041916721,3,3,1,True,True
7,2.264720858850252,-0.5722403090997651,-1.8484725415346634,0.09171289417495665,1,1,2772,False,True
8,0.47267892563318403,1.104394395338632,2.2562974813646424,0.019344134151618023,2,2,197,False,True
9,-0.06535191871449353,-0.07473381564510506,1.4883792354078542,-1.0855146256554427,0,0,0,False,False
10,2.9034319161348785,0.7012230807826565,3.0604680764702845,1.1260187851846868,0,0,0,False,False
11,2.1481988509933636,-0.3964419032633829,-2.052528857056261,0.10792547483635878,3,3,2,False,True
12,2.28857291044185,-1.4980831667177843,-1.0667420034415187,-0.4380335830150289,0,0,0,False,False
13,-0.3799109697264602,0.03663582902843317,1.1972983954586098,-0.7968419612020198,2,2,144,False,True
14,-2.213330002330596,-0.6276449802828035,-0.4186091792441897,0.28527119020443625,4,4,1,True,True
15,-1.9650039694943149,0.3565991151965388,0.6569530509210031,0.6982043830716372,2,2,132,False,True
16,3.034525511768024,1.0359654460561778,2.4405586171635463,0.9635673768904973,2,2,191,False,True
17,-1.2534278030219108,-0.8070798634206338,-0.1530355510245398,-0.3967914671438777,3,3,1,True,True
18,1.5454288626028179,-0.08483499906452542,-2.605033728366596,-0.26081337704879554,2,2,284,False,True
19,0.8796160561207289,-1.24652865913183,-1.2564875777716953,-0.7169237068512808,2,2,71,False,True
20,0.9931334468978186,-0.07262809785025458,-2.928514734623273,-0.7357490602717575,1,1,2772,False,True
21,-1.4831220383038382,1.0301490633606853,1.5365454179378766,0.4705791228469472,1,1,2772,False,True
22,-1.5076879181483442,-0.660111061283241,-0.08402830680815665,-0.16746434065441732,4,3,1,True,True
23,-0.6434568899933728,0.31504674929861926,1.2287426842654732,-0.41775500868812127,2,2,220,False,True
24,3.066850581059489,0.9805783284606279,2.4644079603629567,1.0200859902484116,2,2,387,False,True
