index,alpha_obs,delta_obs,l_obs,b_obs,N_obs,N_match,N_candi,unique,included
1,-2.6091945109349446,-0.2220201612696657,-0.5509357717494283,0.8137866649252021,21,5,1,True,True
2,0.8289309139113312,0.6083526843956063,2.664527122859697,-0.34723122415610036,21,5,1,True,True
3,0.701920817401696,-0.4471136846685379,-2.5194954243944734,-1.1430361474300073,12,5,1,True,True
4,-2.975228225711266,0.8830267812783889,2.2377257759584452,1.158861312766677,24,5,1,True,True
5,3.0824997317148704,-0.3853960780857286,-1.3328776569299432,0.6692051992300947,18,6,1,True,True
6,-0.6714293959475466,0.296973238049086,1.1946747886449867,-0.4096894656267525,21,5,1,True,True
7,-1.2289646849021998,0.004267565192630934,0.6323070979058922,-0.10246947341390288,26,5,1,True,True
8,-0.4927744597439454,-0.21399369945352356,0.799476978006318,-0.851494236044608,13,5,1,True,True
9,-0.1809345812817642,0.5877118069082501,1.773975709252774,-0.44206569887576214,16,6,1,True,True
10,0.6004679295066664,0.5831701081360025,2.4938997812530044,-0.455474711417337,18,5,1,True,True
11,-2.1639489795283438,0.2409635057581082,0.40970665336206835,0.832037933538445,18,5,1,True,True
12,2.848282314527305,1.1503206590109132,2.446593020033209,0.8211636206733733,13,5,1,True,True
13,-2.925757084459271,0.5324870119353793,2.2705811126869557,1.5113072266282948,22,6,1,True,True
14,2.604319210173533,0.16977872786354006,-2.3152213326920865,0.7920985397513821,14,5,1,True,True
15,0.45631065225970335,-0.33550441514671936,-3.09296206292081,-1.3171632568244571,10,5,1,True,True
16,-1.7678060320389317,-1.08037882304288,-0.5385310612202971,-0.23285902454734733,34,5,1,True,True
17,0.24272991426722657,-1.4198902264760453,-0.9994146190154574,-0.6243558020285654,28,5,1,True,True
18,0.5369629463430003,-0.9351731560518526,-1.3748405176745155,-1.0546037778552544,17,10,1,True,True
19,1.8831645468680103,0.43741697153334147,-2.9278710515298725,0.2671161373473384,22,5,1,True,True
20,0.029855229701685193,-0.3021440915388037,1.2959131814141243,-1.3224625913614445,13,5,1,True,True
21,0.051692601236152935,0.04093658768775996,1.805388716029256,-1.0300912185647906,15,5,1,True,True
22,0.003484098148282655,0.7755845044667466,1.9807394980135573,-0.3054930507562163,21,5,1,True,True
23,-2.9632488006333793,-0.3097164495299025,-1.058190107919895,0.7863272232614594,23,5,1,True,True
24,-0.8493913859501712,-0.3080673875802983,0.5000574482770852,-0.5735253551046768,16,5,1,True,True
25,2.7588270424411547,-1.3400201631618416,-1.1322595372225948,-0.28037339107150966,33,5,1,True,True
26,-2.341431784974508,-0.3205543811549582,-0.3194244344472459,0.6002124687701291,25,5,1,True,True
27,-1.8924089547517526,0.7586392910573522,1.1922037936196235,0.7064397625996969,23,5,1,True,True
28,1.7566547566334414,-0.06387427906794596,-2.5274767830738387,-0.06340716384295333,27,6,1,True,True
29,-2.022460137926461,0.09420462366642726,0.32227454876866535,0.6401813306817804,20,5,1,True,True
30,0.26112890588241777,-0.9164434069208421,-1.0480427533526857,-1.1269804919630446,11,5,1,True,True
31,0.2954704454283603,-0.8493124649778181,-1.1227889960609314,-1.1909432280494339,9,5,1,True,True
32,-1.0599175237159484,0.06057960252244949,0.7630908252060777,-0.22528838726063233,20,6,1,True,True
33,1.6792536223259305,1.0012797266271805,2.7485079795990712,0.3346897208980187,24,5,1,True,True
34,-0.5885307462015037,0.8729548740190198,1.6594884975676463,-0.043699872831163944,26,5,1,True,True
35,-1.0419730233369613,-0.24674882106473436,0.48329867129173953,-0.3790411322483594,17,5,1,True,True
36,-0.5348701647077325,-0.35385000714231796,0.5776327472929674,-0.8687606006879451,15,6,1,True,True
37,-0.6671284678208544,0.7262830918868053,1.519932995324857,-0.11543723922731382,21,5,1,True,True
38,-1.5869300396230501,-0.1436622878987196,0.335044205326827,0.14509015005096132,30,6,1,True,True
