index,alpha_obs,delta_obs,l_obs,b_obs,N_obs,N_match,N_candi,unique,included
1,0.7456222114528726,0.6246327986259389,2.5931785062150947,-0.3676556636522812,3,3,2,False,True
2,2.2995036940587443,1.0836495631467662,2.685819337892509,0.648801014255173,0,0,0,False,False
3,-2.1157424848676563,-0.8899031381782502,-0.5264940809353456,0.03545642135113004,5,4,1,True,True
4,-1.4931377172477012,-0.6052079258764985,-0.029083779295748347,-0.15297430976590368,10,4,1,True,True
5,-0.45644163194689646,0.20818732473221427,1.2859214345537904,-0.621627095391082,2,2,1084,False,True
6,-0.8936595849438143,-1.2238486530926413,-0.6176266933617645,-0.5958086809330263,1,1,2768,False,True
7,-2.1783856674508533,0.8117238889477172,1.3034498301771116,0.9005203792188657,0,0,0,False,False
8,-1.5407595076592648,-0.04042893712477082,0.44896760352033827,0.15396619607459028,1,1,2768,False,True
9,-0.255264902676112,0.7931847492383978,1.8064759071960417,-0.23104227410526884,0,0,0,False,False
10,-0.1809345812817642,0.5877118069082501,1.773975709252774,-0.44206569887576214,1,1,2768,False,True
11,-1.6732780742996711,0.7479276489083723,1.1969663522319953,0.5464356164078195,3,3,5,False,True
12,-2.9894203802765196,-0.479809627663341,-1.0745262692369302,0.6149841753358404,1,1,2768,False,True
13,1.701640847511948,0.08064082128740127,-2.681363404948664,-0.04619258946594991,1,1,2768,False,True
14,-1.7923507855805088,0.3633533968209218,0.7305771015307743,0.5479025541690423,5,4,1,True,True
15,2.990272339264523,-0.8082775054242459,-1.2603580578977507,0.24457238418605667,2,2,965,False,True
16,0.1902927488475421,-0.26084579957717285,1.9903281898540675,-1.3558023781991957,1,1,2768,False,True
17,-2.7657373941360404,0.1711710334804288,-0.5259955778086667,1.236430256825142,3,3,6,False,True
18,2.767478389459767,0.414625566188149,-2.593454418487296,1.0287509636243417,2,2,993,False,True
19,0.12772632304425313,0.16685696963688945,1.986970157437998,-0.9236288617602224,1,1,2768,False,True
20,2.470118424390593,0.4374887476067474,-2.7335043264810954,0.7710413602534312,2,2,888,False,True
21,1.8732620786581835,-0.281130073445791,-2.2813906760895595,-0.059896675224430804,2,2,653,False,True
22,-1.3066957948428788,0.35958759905909965,0.9140551696057564,0.12777173480619458,1,1,2768,False,True
23,2.8582264268968123,0.6263386642255632,-3.0343291842732754,1.1137332796831751,4,3,1,True,True
24,1.2308990007393446,-1.1544577418229864,-1.4416678499091446,-0.6554794276335051,2,2,873,False,True
25,0.01762662558359329,1.0932272060351853,2.051045214915442,0.004625138908537761,4,4,1,True,True
26,-1.0963442017094076,-0.11075242141909855,0.589057783747795,-0.272609860533792,2,2,1201,False,True
27,0.7041193059244861,0.4344850551600241,2.659472385858283,-0.5518273556835798,2,2,514,False,True
28,2.0610991152905127,1.0667544356202034,2.7190730764794573,0.537758841270515,1,1,2768,False,True
29,-2.8499850523223333,1.0209930435275316,2.0783690580235037,1.0212695430044447,2,2,1094,False,True
30,-1.1846584089837742,-0.7753318190168835,-0.1056734754861095,-0.4350967643399033,0,0,0,False,False
31,2.4667499971072964,-0.7067789295398004,-1.6395921979094474,0.12530192349128794,1,1,2768,False,True
32,-1.788636901886201,0.7666278561051284,1.2069843385372998,0.6318981251916092,2,2,1148,False,True
33,-2.9131294687008524,-0.9551951406684172,-0.9936792063313007,0.14211970233826085,6,4,1,True,True
34,-0.9236509518019478,-0.22995273001853286,0.5514379544202619,-0.4773438070889697,1,1,2768,False,True
35,2.86821439827499,0.2130497791896103,-2.155827517703962,1.0366452942178117,2,2,427,False,True
36,-1.9754224255174306,-0.6125826240795574,-0.26062102819568267,0.16703383220966478,6,4,1,True,True
37,-1.2242873081912573,0.23915129923821277,0.8427283106597896,0.0027267531105988315,4,4,1,True,True
38,0.30197583123472205,-0.4095902664487396,2.9942155246503255,-1.475968714728869,1,1,2768,False,True
39,-2.5500089021699024,1.217874213520299,1.9671606443503942,0.7966183616726887,2,2,257,False,True
40,1.951965679366559,0.10326427608476858,-2.588138653687901,0.1862548675452516,2,2,352,False,True
41,2.779917535332517,0.5433286156538755,-2.8444619018746256,1.056034050572579,1,1,2768,False,True
42,-0.9722515392996129,1.0292273635373248,1.630914606353043,0.22497263980397483,1,1,2768,False,True
43,-2.091319880756506,-0.1004770576682185,0.07764153977054722,0.5878595960075443,2,2,1077,False,True
44,2.9087727740925535,0.8094591412572488,2.8450171326921936,1.07799005150004,3,3,4,False,True
45,-1.2580133411947805,-0.936155940975412,-0.29014225676564376,-0.42657095165678716,0,0,0,False,False
46,2.0737684623116914,-0.19358612941562445,-2.2645171523838075,0.15300086866232382,0,0,0,False,False
47,0.5439189896723757,0.4209060127966462,2.506787944496441,-0.62475234486473,2,2,269,False,True
48,-2.513231850125476,1.3737176508817388,2.048540322824257,0.652781176690576,0,0,0,False,False
49,-0.4248307772056603,0.19376542010008793,1.3017959776527253,-0.6533240426418692,2,2,575,False,True
50,-0.17386836002105754,0.4015202779401471,1.6932308831049827,-0.6148915705689886,2,2,347,False,True
51,0.15359657051545872,0.7571995741801464,2.091003307842456,-0.33839896798688085,1,1,2768,False,True
52,1.1795577231898386,-0.21379369293554001,-2.6524905738315807,-0.6422808296318742,2,2,1328,False,True
53,-0.702228736840925,0.6413926625678092,1.4398371798117866,-0.1560379387439885,2,2,1178,False,True
54,-3.094537817903583,-0.061159400474561545,-1.3332172983697816,1.0094037885109388,0,0,0,False,False
55,2.8574587255403854,0.8072479659202942,2.887249510624814,1.0490023067759036,2,2,627,False,True
56,3.040308739200932,0.24585830720775897,-1.9889500530281712,1.1912084604326785,3,3,3,False,True
57,-2.7730558154178375,0.5901925147302145,1.3646343928657547,1.400490987813043,1,1,2768,False,True
58,2.0158736328663913,0.2924988493894458,-2.737538345969919,0.32360155073175123,1,1,2768,False,True
59,3.1237126253211214,0.7398233939661826,2.721291275446889,1.2392319904252558,1,1,2768,False,True
60,0.24225016954034828,-0.10036027855053047,2.194148224318086,-1.197294251884435,1,1,2768,False,True
61,3.0325817132133537,0.7742591641931659,2.785670389923098,1.1682269456249,2,2,872,False,True
62,-0.6879125109603388,0.14172412135938403,1.049003425493403,-0.49462772393359544,1,1,2768,False,True
63,2.0446553435861112,0.9301339387748008,2.876349451705365,0.5199928760680298,0,0,0,False,False
64,1.988632946759859,-0.44356852212095726,-2.087137196759123,-0.04120775550420615,7,4,1,True,True
65,1.4394037984368921,-0.5076845099280433,-2.222380976180691,-0.5150974404412478,3,3,4,False,True
66,2.4441186168251168,0.505666145496544,-2.832984999099706,0.7634025745588262,2,2,898,False,True
67,-1.2738202207873803,0.6462920246327625,1.1897011911498598,0.2250098318539776,4,4,1,True,True
68,1.668834680747497,-0.42390465712819314,-2.232908687268952,-0.29404163540995926,5,4,1,True,True
69,1.0658681857825005,0.671801117013118,2.7807364536482435,-0.18140079240436177,3,3,6,False,True
70,-1.0181570412376635,0.756829719820675,1.381308187546134,0.10471413262493173,2,2,727,False,True
71,-2.772727448977211,1.1109080268279792,2.0390129650245186,0.9264870598152539,1,1,2768,False,True
72,1.1842484084843443,0.41842357062525376,3.0400720019496825,-0.2850902442807163,3,3,3,False,True
73,-2.743033354555321,-0.06286818477950266,-0.665625226483924,1.008721994462371,2,2,1140,False,True
74,-0.506642880495773,-0.09956258637321057,0.9337718755107751,-0.7818535427550171,0,0,0,False,False
75,-0.8922829216269257,-0.9831668849184159,-0.32677028861322466,-0.6384054589595949,3,3,7,False,True
76,0.2016631966733966,1.2617014956902564,2.1385438438483897,0.16445363566138835,3,3,3,False,True
77,0.3308465077917413,0.14083369451576752,2.3268016488341985,-0.947891172539848,0,0,0,False,False
78,0.007554835668707849,-0.4288375361503213,0.7512938530912896,-1.3706702926341618,0,0,0,False,False
79,-0.8964113310842885,-0.449210296427345,0.32393219554389274,-0.5783961759351354,0,0,0,False,False
80,2.211946566462011,-0.49021933294284553,-1.9419823349584249,0.10329999508466405,0,0,0,False,False
81,0.7811868679866834,0.5815233670529829,2.643455212588796,-0.3907835373209262,2,2,175,False,True
82,-0.9576581851995738,-0.7399658636033921,-0.03012293419901857,-0.5902147203389738,1,1,2768,False,True
83,2.628816228645869,0.9993694871329732,2.716522166279786,0.8329131031410995,3,3,5,False,True
84,-0.36585559986230365,0.8368694824680258,1.758504515152116,-0.15728733243967433,0,0,0,False,False
85,0.3380426230863467,-0.40494663939998915,-3.1299411217880095,-1.4472671102457855,2,2,712,False,True
86,-0.8687055960376173,-1.0684040995715078,-0.43404068139162577,-0.6393091994987345,2,2,736,False,True
87,-2.2647551424655914,0.8093820328276835,1.3298888201756025,0.9579372197974547,1,1,2768,False,True
88,0.18190192762731838,-0.9089038962618118,-0.9341771699540069,-1.134198058435382,4,3,1,True,True
89,2.296761979523655,0.36032604206624663,-2.6984678097424855,0.595795212022903,0,0,0,False,False
90,1.162045305217398,-0.9915601317325591,-1.6324474126601771,-0.7340339936706707,2,2,585,False,True
91,-1.5825652838720852,-0.8225468644692856,-0.2563217216494973,-0.19369003202261337,6,4,1,True,True
92,-0.14754942241390268,0.10126984602040559,1.5311965383020354,-0.8927055552207142,1,1,2768,False,True
93,-0.8213281866544886,-0.9630719677193088,-0.30723236628438233,-0.680343766382254,3,3,3,False,True
