index,alpha_obs,delta_obs,l_obs,b_obs,N_obs,N_match,N_candi,unique,included
1,0.9836306388558382,-0.7070490063366529,-2.008809743475563,-0.9059889665416825,0,0,0,False,False
2,-1.180909753199005,0.1200349113873987,0.7576718258605353,-0.09104282589967187,1,1,2768,False,True
3,2.2708812176394977,0.03934800699129973,-2.3737964508569114,0.43913628325041704,1,1,2768,False,True
4,2.4858375117318445,0.2550208517089392,-2.4911498689732534,0.7256428690587584,2,2,936,False,True
5,-3.0431637476433155,0.1840972319291663,-1.4092261993930393,1.2580219453661883,1,1,2768,False,True
6,-0.8879659137521045,-0.4288999733930491,0.3498126596755058,-0.5797124152145677,0,0,0,False,False
7,2.9797674447294726,-0.9497940970744483,-1.2183647077832163,0.10905324457279603,3,3,3,False,True
8,0.823130727098146,-0.495858386061911,-2.383046253666164,-1.042368524915245,0,0,0,False,False
9,-3.0845532285529726,0.36916585060381124,-2.0033510440273536,1.3859345514940777,1,1,2768,False,True
10,1.1256786358118411,1.0448339281851853,2.553133226653066,0.11731168973207126,1,1,2768,False,True
11,-1.0178385040264173,0.3081671981268105,1.0015482982469965,-0.13572951455381235,2,2,791,False,True
12,1.9270601943451178,-0.09622848975350362,-2.4207506167043773,0.07269379868949918,0,0,0,False,False
13,2.124347056307937,-0.3672815909944438,-2.0892212387512004,0.10491929699645015,1,1,2768,False,True
14,-2.217698823142548,-0.6851217242056408,-0.4569135671935758,0.24113595255724973,4,4,1,True,True
15,-2.185524481439525,-0.22351589260663451,-0.10644723054121252,0.5760106876617849,1,1,2768,False,True
16,-1.6400685856435198,-0.41066459772321495,0.07749130254296555,0.05422491263072847,3,3,4,False,True
17,-1.5349803428217126,1.0050794634153117,1.5044399541725682,0.49427620960326396,2,2,317,False,True
18,0.9547023637503411,0.40940238489943687,2.888758104476411,-0.4408815580273476,2,2,624,False,True
19,2.755503298309752,-0.9750340324222222,-1.323724227156875,0.03176504558628065,7,4,1,True,True
20,0.1259383841384194,-0.6913746952676765,-0.6613876601388875,-1.3380241917837288,0,0,0,False,False
21,-2.60467617903255,0.9452875955934594,1.777992406489755,1.0461736319558426,1,1,2768,False,True
22,0.44263014501709197,0.12368361829806888,2.5169466274759333,-0.9373557162123006,1,1,2768,False,True
23,0.765926650485532,0.25683430190444667,2.835559912236511,-0.6710698527741773,0,0,0,False,False
24,2.631200927842942,-0.3775223582422915,-1.7661722764706944,0.4619979644883597,0,0,0,False,False
25,-0.3048588031708861,0.6761442336224448,1.7178466739604321,-0.31923647273955186,2,2,376,False,True
26,-0.7202239772171382,-0.04227918794784521,0.8508421467584939,-0.570856760292779,1,1,2768,False,True
27,1.0802668831516344,0.22105422447272227,3.132464590539602,-0.48849268515143196,2,2,677,False,True
28,2.8513156506957307,-0.05830353958512428,-1.8275455618935252,0.8432182887816155,0,0,0,False,False
29,-2.739668107041548,0.039704798689754565,-0.5924537807783654,1.1048945247415602,2,2,560,False,True
30,-1.1096982178523267,-0.5906224783807124,0.10805953971052062,-0.44143897412445504,1,1,2768,False,True
31,1.0490252557094948,1.1084414487731753,2.4826298596300322,0.13905708926929658,0,0,0,False,False
32,-1.9739088654590102,-0.6702061438102256,-0.30218444151840185,0.1266401098162368,5,4,1,True,True
33,0.001310061051226885,-0.006952418955486428,1.6782091922008577,-1.0573849686812582,0,0,0,False,False
34,-0.8928415418592555,1.0282680222174831,1.6532750252619994,0.19033329978052543,2,2,269,False,True
35,1.6547430517485626,-0.7404492224710945,-1.9188698046345962,-0.4110921041917157,3,3,3,False,True
36,2.0380129573746615,-0.46926076982944054,-2.0428719583471473,-0.015384608437160446,6,4,1,True,True
37,1.6611149002257601,-1.4127277830788527,-1.1735888267870074,-0.4881949456579157,0,0,0,False,False
38,-1.8122709271851405,0.4820435800986901,0.8587988193472871,0.6012199149606678,2,2,633,False,True
39,2.593936951653859,-0.8275362025462398,-1.4901554323333421,0.09590176100622023,6,4,1,True,True
40,-2.058623849451012,0.17566360052928792,0.39181407163484305,0.7107345525360256,0,0,0,False,False
41,0.5363449871754344,0.061820688457177336,2.705930755285932,-0.9566357685772854,1,1,2768,False,True
42,-2.9175428278294873,-0.7382240197108787,-0.9963343645317977,0.35909497068504187,1,1,2768,False,True
43,-2.5015182238354003,-0.6617792736153216,-0.6472718139592684,0.37054378956483214,9,4,1,True,True
44,-2.359851053950483,-0.23927487329441163,-0.2769033152367233,0.6760717166507467,1,1,2768,False,True
45,-3.0652176967989386,0.21177319436134362,-1.5127109771711789,1.2745193413946998,2,2,1272,False,True
46,2.8842737320848606,-0.05981289236829677,-1.7878952857266714,0.8633483122389705,0,0,0,False,False
47,-1.2042104178779094,-1.0020759723807169,-0.35540123206102026,-0.46912941274856884,1,1,2768,False,True
48,-1.6348662956642168,0.4069420309214147,0.8336207194041259,0.42577162720779776,1,1,2768,False,True
49,-0.5696955439213864,-0.8792001073266057,-0.2392049736237296,-0.8466230128846417,3,3,19,False,True
50,-2.423973622405336,-0.16044705006811746,-0.28140575068879237,0.7768180233356508,1,1,2768,False,True
51,2.2231893341352356,0.8849114071373348,2.937400857848756,0.6271010569784065,1,1,2768,False,True
52,-1.7875118871058293,-0.27598309565195156,0.11589154327377527,0.24378624710732763,3,3,3,False,True
53,2.6778562499413185,-1.146998832941231,-1.2626960946261434,-0.13335051781359442,7,4,1,True,True
54,-1.0585310902236462,0.005262317358951649,0.713745109644436,-0.25292352145995184,3,3,1,True,True
55,1.4780701447976785,-0.00834093545051011,-2.7077442751764753,-0.28521023021472725,6,4,1,True,True
56,-0.9897970037192274,0.26980296957384975,0.9829651168875113,-0.17882658503195759,3,3,8,False,True
57,-0.9692813672612917,-0.1451763902780693,0.6153759428206182,-0.4008642100325146,1,1,2768,False,True
58,1.6246159918671008,0.4706237791172382,-3.060419495749054,0.07213862213882845,3,3,4,False,True
59,2.8352930502383797,0.10471271975463016,-2.03220839620272,0.9458778820498353,0,0,0,False,False
60,3.023810991630979,1.3906111162513062,2.2207316972944353,0.6420631514630164,1,1,2768,False,True
61,-0.07803872673280532,-0.6350097312343602,-0.0623823063694684,-1.2678230632492724,0,0,0,False,False
62,2.284646757245488,0.3115171727196696,-2.648462176416354,0.5680762825637944,0,0,0,False,False
63,1.702025506027784,0.6891331954923495,3.054517478180281,0.22798234867079614,2,2,576,False,True
64,1.742540147386629,0.15644212000443986,-2.7299835990510957,0.02474193974127376,3,3,4,False,True
65,1.904312277619753,-0.737130238591803,-1.8549823640075536,-0.23697579430371962,3,3,5,False,True
66,2.1801368574561284,-0.8643154047564414,-1.648065394859053,-0.13028860704325526,5,4,1,True,True
67,-2.974140578080587,0.10587000994901025,-1.1526546827539264,1.1992118846925657,0,0,0,False,False
68,1.502904953717934,0.4334302224026084,-3.0828852854959097,-0.04126987427955978,4,4,1,True,True
69,-3.071787320613364,-0.16276439771695814,-1.2486332822068853,0.9171230267177267,1,1,2768,False,True
70,-1.0102830207940423,0.1252337906152008,0.8458945746762474,-0.23644537302328197,2,2,926,False,True
71,2.0870585532739323,-0.2760000123573476,-2.186165564000003,0.1224025056755446,1,1,2768,False,True
72,-2.7572930366784014,0.42022405275738645,0.2562653070435217,1.4171657891349771,1,1,2768,False,True
73,-2.622101234876223,0.10507410364693055,-0.2919854268961335,1.1076625915887457,1,1,2768,False,True
74,3.009608381095667,1.3267483980619696,2.255999706577649,0.6997236218399233,0,0,0,False,False
75,0.1825844260345626,-1.3871983386529376,-0.9863788239968772,-0.6568955525836765,0,0,0,False,False
76,-1.4093603624589404,0.1321026930080886,0.6642574280527738,0.11586848269990012,1,1,2768,False,True
77,1.300449512056784,-0.08794549469613465,-2.7224151149480686,-0.47914716344790503,4,3,1,True,True
78,-1.487166636158229,1.0122702064598967,1.5163602113436943,0.4699968293057048,1,1,2768,False,True
79,2.668742945778698,0.019491157873513215,-2.089404827337294,0.7628842907736624,0,0,0,False,False
80,-0.7652817023562211,-0.46431818244677664,0.34508072511898735,-0.6958099790052202,0,0,0,False,False
81,-0.3823646491306594,-0.256489923719312,0.8174426647940978,-0.966430019161076,1,1,2768,False,True
82,1.4510490386151957,-1.0129821926062517,-1.6329031371444342,-0.5773761758531788,3,3,3,False,True
83,-1.4043921227717127,0.1152940315540555,0.6513682415623965,0.1039224638317409,1,1,2768,False,True
84,0.3027280660389362,0.5501931699766441,2.2235784473808007,-0.5444072612401334,2,2,775,False,True
85,2.7714428835726235,-0.647139422861583,-1.4859934281266565,0.31863275908463007,0,0,0,False,False
86,-2.747539827143416,0.1806161925958841,-0.464244497931416,1.2371620918936588,2,2,1064,False,True
87,2.5118473612711085,-0.33773059117740617,-1.884983839018357,0.41202051240185683,1,1,2768,False,True
88,-2.0889238531825898,-1.0267292861215733,-0.6034891391605339,-0.07872526295316257,3,3,6,False,True
89,-2.771098468247033,-0.08404286053757527,-0.7261459418795688,0.9956773199281802,2,2,796,False,True
90,-2.7517460978354653,0.8218745124226532,1.831924981820233,1.1989300188737673,1,1,2768,False,True
91,2.249609206841493,-0.07821029272689671,-2.2750405617753167,0.3616246298170528,0,0,0,False,False
92,2.992887695906381,-0.18538403424907313,-1.5483415151397901,0.8190465804149129,0,0,0,False,False
93,2.9905006857137977,0.12002063709578267,-1.8542761926110227,1.0687652310240148,1,1,2768,False,True
94,1.4806826109894207,-0.3350516879158315,-2.3911452956429358,-0.4224316742290894,5,4,1,True,True
95,2.6360790135092955,0.3124647883947823,-2.4885624864203653,0.8808517434598238,2,2,932,False,True
96,2.3587021321752024,-0.8547064674239663,-1.5846817965226183,-0.03194455736803121,3,3,6,False,True
97,-2.673693118534883,-0.6417448892289319,-0.7817228497112119,0.43229268747549926,4,4,1,True,True
98,-2.760183448990016,0.3839937600411623,0.048667103006470036,1.4023953008810643,1,1,2768,False,True
99,-1.488400778324168,-1.0896707504020964,-0.48593343090962815,-0.35320970269523233,2,2,1092,False,True
100,1.2482345307360587,0.15469569792221236,-2.9814840969643814,-0.3975093646535616,3,3,4,False,True
101,-1.289612929212728,0.7564387914399602,1.2891279013233898,0.2798893352568318,2,2,1122,False,True
102,-1.579592439684353,0.039491701911652105,0.5027160728956446,0.22544816949868132,1,1,2768,False,True
103,1.2446185345253342,-1.1776072982902501,-1.4162689880825283,-0.6429980312252963,0,0,0,False,False
104,-1.2942623939459197,0.01460412569021857,0.6115453028220394,-0.03968824510949434,0,0,0,False,False
105,1.6713886885894533,-0.9571640057773965,-1.6840288446077878,-0.4512644735770034,4,3,1,True,True
106,0.1511903426630261,0.13295980985989936,2.0187073378506657,-0.9602211426856558,1,1,2768,False,True
107,2.747598228602002,0.16118017597418846,-2.193889638504328,0.9090648224475216,1,1,2768,False,True
108,-2.144837105681052,0.22172405911818355,0.3961413911041194,0.8069284875417312,1,1,2768,False,True
109,-0.9882675564495829,-0.7763603019726851,-0.0767474713121783,-0.5728773166745194,1,1,2768,False,True
110,-0.029519906007898555,0.35187432454301254,1.8294522450502626,-0.7095618337130964,0,0,0,False,False
111,1.7737568921715425,0.3334993078835504,-2.8748860742807043,0.13158436701777892,2,2,643,False,True
112,1.405930600183689,-1.3303775660862827,-1.2575094983441168,-0.5507193074704234,0,0,0,False,False
113,-0.8098679093051282,0.4672317858830886,1.245557467398208,-0.2021262992777802,1,1,2768,False,True
114,1.0630125777388812,-1.1420315884352072,-1.4212843395508372,-0.7235767598019013,2,2,885,False,True
115,2.717085391948844,0.988565103016264,2.6942977068049903,0.8800417534985523,2,2,999,False,True
116,-0.0917798505995191,-0.3692609722609279,0.8533302617206275,-1.2643815732618333,0,0,0,False,False
117,-1.5974309357899725,-0.8855191813063,-0.31774313935066534,-0.2147494732820642,3,3,10,False,True
118,-0.4953234549213543,0.04521597157517194,1.1012746576086885,-0.704879503385842,1,1,2768,False,True
119,1.078500972916478,0.85493016803124,2.6636176070252695,-0.03965286732081895,2,2,669,False,True
120,1.9115181513598518,0.982622878788211,2.8048858649382566,0.4518705408688229,1,1,2768,False,True
