index,alpha_obs,delta_obs,l_obs,b_obs,N_obs,N_match,N_candi,unique,included
1,2.07296147869004,-0.0554342996683668,-2.3874201026649047,0.22014140614619873,1,1,2772,False,True
2,2.5868968664344028,-0.2305605044231194,-1.91755856750612,0.5378439905107325,1,1,2772,False,True
3,1.3050634815675641,-0.09184325123249983,-2.716110881332198,-0.4769162027645297,2,2,256,False,True
4,-0.3862409400235749,-0.365798511964405,0.6316812535214349,-1.0046835928495133,1,1,2772,False,True
5,-2.671637858093775,-1.3950467648494798,-0.9514909010480044,-0.30261254709221147,0,0,0,False,False
6,-2.9235092269789633,0.7327525881553452,2.1639947642485433,1.3114688907739938,1,1,2772,False,True
7,-0.0731354345418671,0.3688253375071503,1.7859782551384722,-0.6806032330579386,1,1,2772,False,True
8,-2.3712231588897086,-0.28316257681828694,-0.3210284578462903,0.6471742410852543,1,1,2772,False,True
9,0.05269481174211377,1.078473114110781,2.0646909593284546,-0.012656172412778334,4,3,1,True,True
10,-0.8845655510000419,0.620317644192959,1.327719023103028,-0.05763014705269016,0,0,0,False,False
11,0.5762672011123415,1.0531270198480855,2.3169640194111114,-0.017200666723273358,1,1,2772,False,True
12,3.0286127723148066,0.7519254469359778,2.834429246675196,1.1805869658056298,2,2,212,False,True
13,-1.7107381733408737,0.6422188255975514,1.0687959094783412,0.5551839013015045,2,2,166,False,True
14,-1.9282634600276423,0.7940733396605096,1.2396656050497743,0.7316316281278828,2,2,180,False,True
15,-0.9011968801784662,1.1920085945043484,1.7902709005858002,0.2858200503029249,1,1,2772,False,True
16,1.2086348168682193,-0.6036820049316225,-2.157507661614858,-0.7267135911240425,1,1,2772,False,True
17,2.470642262834372,-0.2709287291641169,-1.9682619368522056,0.42695662381697025,0,0,0,False,False
18,-2.3081144771922877,0.552860538974407,0.8719015699796477,1.0365818328561327,2,2,225,False,True
19,1.428113892608443,0.1585750472627638,-2.8836184389990276,-0.24590238765906056,2,2,140,False,True
20,-1.614341099326344,0.7791250128684514,1.2410491110148945,0.5098867043169563,1,1,2772,False,True
21,-2.8672035018879156,0.7521423781015749,2.0139884722990367,1.2891996129035173,2,2,172,False,True
22,-0.7287317991485391,0.3382950923551871,1.190824105370246,-0.34144500268609246,1,1,2772,False,True
23,3.119769591768396,0.543534498485895,-2.940345616619843,1.3447750394592355,0,0,0,False,False
24,-2.313844937595131,0.02040692952071316,0.012736336172397777,0.8360856858161742,0,0,0,False,False
25,-0.1468727212275267,1.0117221045159757,1.9516286030047825,-0.05334829475468477,3,3,1,True,True
