index,alpha_obs,delta_obs,l_obs,b_obs,N_obs,N_match,N_candi,unique,included
1,-0.3670202419653208,-0.31453753115211314,0.7330161257963983,-1.0040049016385197,0,0,0,False,False
2,2.088254664536522,1.314902457066205,2.430382430631365,0.5307751827929709,0,0,0,False,False
3,0.33967047498002856,-0.50033094852452,-2.2822997242065934,-1.4654939104829383,0,0,0,False,False
4,1.0353897083862353,-0.28285013564133266,-2.6431184518192943,-0.7979634491745957,0,0,0,False,False
5,-1.0956401363354753,0.13746748715686855,0.8139753158974781,-0.15687783928339957,3,3,6,False,True
6,1.2533941429482711,0.4701450355071437,3.0402032843899907,-0.20402717187416125,2,2,1206,False,True
7,1.7496458209075474,0.4715956260679546,-3.0103902664740687,0.1718683897796806,1,1,2768,False,True
8,-0.130103216029696,1.0964422195168593,1.9862755124507965,0.024408738409633552,1,1,2768,False,True
9,-0.8252860334811922,-1.182833481061371,-0.5776777649771101,-0.6306882276499012,0,0,0,False,False
10,2.073828597892505,0.1631377569248325,-2.5887607100816785,0.32104432383073433,0,0,0,False,False
11,-0.21351128152936028,-0.8713317479135241,-0.41427843486694993,-1.0507933384627401,2,2,992,False,True
12,-2.954838671989044,0.30028940150496036,-1.2022850669565521,1.3941398057493137,0,0,0,False,False
13,-0.337906076393379,1.1483878663272746,1.9239098853416206,0.10743900431460766,1,1,2768,False,True
14,-0.023453406241375596,0.5362601720101622,1.8980612854817966,-0.5336698706116115,0,0,0,False,False
15,2.629760023277223,0.4170976601008416,-2.650726307892369,0.9069802722664981,1,1,2768,False,True
16,-0.7847352014592621,-0.045134417399379914,0.8097650914142172,-0.5167554690038684,1,1,2768,False,True
17,2.472707551321033,-0.11222845231238528,-2.106728286401271,0.527401697338721,0,0,0,False,False
18,-0.3494246016394067,0.7305894909341365,1.7144835516107833,-0.25514158452091185,0,0,0,False,False
19,-0.4718274458850953,-0.11058223788568941,0.9478435436584283,-0.8168392244219499,1,1,2768,False,True
20,0.05304997046104232,1.2675988657908293,2.0938384666413743,0.17423157595493083,1,1,2768,False,True
21,-1.99597583893271,-1.3060120502964898,-0.7758496235810353,-0.30386285077038255,1,1,2768,False,True
22,-2.0387765368363633,-0.7683934057020371,-0.40672947616032706,0.09175908500530484,1,1,2768,False,True
23,2.5180563356267953,-1.3965264798001487,-1.1351206849727067,-0.35436833039489696,0,0,0,False,False
24,-1.0946474055421227,-0.43954508225136085,0.26974691690810193,-0.4056582418152582,0,0,0,False,False
25,-0.33324353890195724,0.2736015103894828,1.4520606314335316,-0.648315553919738,1,1,2768,False,True
26,2.1365463450940485,-0.617496068694398,-1.87247509764269,-0.021128515154749398,2,2,565,False,True
27,-0.3109284064005098,0.2682078569025529,1.4701216304164806,-0.6652512184366866,1,1,2768,False,True
28,0.1828308764738913,0.4957082669226246,2.101194285118984,-0.6007890990385533,2,2,593,False,True
29,-0.1752328539832897,0.18910478804338657,1.5628260322792276,-0.8031042436729611,0,0,0,False,False
30,-1.5209781689307698,0.39656546043546753,0.8643858986023094,0.32440838748179396,0,0,0,False,False
31,1.9979001345514318,0.661943694596199,-3.1176845377232603,0.43517958742696106,0,0,0,False,False
32,-2.1135876680174794,0.6370443798919958,1.0183489570042337,0.8754579130395128,1,1,2768,False,True
